Mã,Công ty,Ngành,Khối lượng NY/ĐKGD,TtDT_QG4_YoY,TtDT_QG3_YoY,TtDT_QG2_YoY,TtDT_QG1_YoY,TtLN_QG4_YoY,TtLN_QG3_YoY,TtLN_QG2_YoY,TtLN_QG1_YoY,TtDT_QG3,TtDT_QG2,TtDT_QG1,TtLN_QG3,TtLN_QG2,TtLN_QG1,TtTN_QG3,TtTN_QG2,TtTN_QG1,TtTV_QG3,TtTV_QG2,TtTV_QG1,TtEPS_QG3,TtEPS_QG2,TtEPS_QG1,TtBVPS_QG3,TtBVPS_QG2,TtBVPS_QG1,TtPE_QG3,TtPE_QG2,TtPE_QG1
AAA,Công ty cổ phần Nhựa An Phát Xanh,"Nhựa, cao su & sợi",382274496,-18.86896749480094,-10.203655500282544,-39.47992394101743,7.582884065194561,-261.48253412207936,-38.81547578502827,-49.2218427614242,24.02023389176871,6.169099082094277,-18.060629509132237,3.5965911642804365,-155.14909031373432,-143.96987495651106,-201.35480834169005,1.2382217966310431,5.91499731344364,11.893696031807787,1.0300273866524807,2.879449277134083,4.543175038990026,-24.829157175398635,-52.619589977220954,-41.45785876993166,1.0288831040039668,2.882112309408702,4.543200694186191,80.98908156711624,233.46178548490687,133.52601156069363
AAM,Công ty Cổ phần Thủy sản Mekong,Nuôi trồng nông & hải sản,12346411,-30.90449804432855,-45.596282541220376,-40.072282375246246,-39.190267681887796,-22.452303396928805,-41.004784688995215,-90.20741244474668,-138.15442561205273,-28.478430077599832,-4.571078142321391,-33.50472910819162,-63.00630063006301,-74.07740774077408,-130.39303930393038,4.987282981311512,-1.7250912307862436,66.12849718013933,0.5106521075137447,-2.581417990226023,-3.0777527489309713,-5.071119356833642,-52.13358070500928,-73.8404452690167,0.5087535537932066,-2.583670008479226,-3.0774602224549854,5.790960451977403,93.50282485875705,250.9887005649718
AAT,Công ty cổ phần Tiên Sơn Thanh Hoá,Hàng May mặc,70819103,296.4053154188397,9.973297497294844,-64.84350011423349,-32.351400669077144,28.544600938967136,6876.190476190476,-98.10583759793488,7.201309328968904,-53.16309389308438,-39.951388475946956,-70.23956413153357,7.012417823228634,22.20598977355734,-52.15485756026297,-1.2658387561785738,-8.672241446204218,-12.37922800553903,-1.0637995931855195,-0.5231823434406233,-0.871069543651464,1.5536723163841808,-94.35028248587571,-94.42090395480226,-1.0692420453565576,-0.5259981029576615,-10.692420453565576,-1.142857142857144,2154.5714285714284,1780.857142857143
ABR,Công ty Cổ phần Đầu tư Nhãn hiệu Việt,Tư vấn & Hỗ trợ KD,20000000,24.134353520944106,19.057724957555177,-17.763076286954725,-77.1146430244711,56.75489859058096,56.3472846765825,168.90874058504116,-32.956531872742104,-2.319264521521103,-30.738960858058224,-77.88689232483632,-0.8771929824561403,68.33333333333333,-36.91885964912281,-27.748637947954386,-1.6333344613267458,-27.08086584774345,3.2846625637640914,8.674373944579218,10.694462485825326,11.164383561643836,44.178082191780824,34.45205479452055,3.2860553293076813,8.67153489678416,10.693722791742733,-7.035175879396984,5.862646566164164,6.700167504187611
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Phân phối hàng chuyên dụng,80000000,35.56379025598679,-76.44624451357527,13.498663350202246,-14.795415368796686,-81.70181709302543,177.1939789832434,538.4374246443211,-78.25449211587825,-89.84209748869678,-13.557626269471319,-78.54740044862648,-0.1840867253016977,441.54223767641645,-87.87073021067702,1.3832314299383048,1.995481407124112,-9.396543857174857,-37.48091439508095,-33.69928656616224,-33.54988680754426,23.076923076923077,188.1656804733728,172.4852071005917,-37.47928926469748,-33.69708050048563,-33.54853453693652,-11.269430051813474,-54.468911917098445,-53.36787564766839
ABT,Công ty Cổ phần Xuất nhập khẩu thủy sản Bến Tre,Nuôi trồng nông & hải sản,14387207,10.093993580926181,-7.0998553038992975,-24.512795772514615,-16.46419139350629,-15.047064400352136,19.815007816571132,-10.813869416239665,13.885942726605204,-13.990518432140155,-6.596839014638819,-6.690544114278575,-26.687923475488244,126.15384615384616,11.271422877640495,1.5905254273053386,18.6359200253218,-33.869882886684955,-3.7032974682075803,-0.7774878662535252,0.9247169847139052,1.7964071856287425,-3.901288332426057,-1.288332426056977,-3.7038877158117005,-0.777543162340082,0.9241088063594585,-6.825396825396821,-4.285714285714279,-6.03174603174603
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,3884050358,38.84592594768062,42.48448662215274,39.66146505479481,33.9582251218852,18.201519871360656,25.779010717756616,-1.9604133550148257,12.561695147354664,13.789777117584464,14.455110773058596,13.913581228824226,44.05166593625262,34.674159855468595,40.656808283383,-0.13525930116454835,3.383369007275421,5.869308957222906,0.0,14.880260987078413,14.880260987078413,1.0130571814497973,-4.592525889239082,-5.20036019810896,6.998786337629313,-6.455527943131249,-0.5663757729873432,12.981744421906706,5.476673427991896,5.273833671399609
ACC,Công ty cổ phần Đầu tư và Xây dựng Bình Dương ACC,Vật liệu xây dựng & Nội thất,104999993,45.90845505200885,-23.50007802375993,-4.712682345025842,-3.797140021652833,138.85055384056656,-6.330785923200302,-69.77499077831058,33.99362095014269,-39.60782633380288,-33.245850361268964,-8.619572261827608,-62.26099517238758,-68.85239670049796,-8.974797582392519,32.367249849137906,53.676449776225944,21.32380496276848,0.7328705686776348,-5.476221992201021,-3.5094585028689163,-8.520710059171599,-29.82248520710059,-22.958579881656803,0.7337707182320442,-5.473066298342541,-3.5134668508287294,34.188679245283026,71.69811320754717,39.62264150943396
ACG,Công ty Cổ phần Gỗ An Cường,Lâm sản và Chế biến gỗ,150787946,27.27082166882259,-20.56686717219449,-8.560572933735411,-18.171021781525063,10.127913880785812,-69.71028754419908,-31.651173921805725,-21.88095882582935,-50.88223438698688,-30.060621558794676,-30.466595296194683,-78.71496299248129,-36.40039615332775,-23.89343709893871,-15.961476378686992,-20.822588382977685,-36.6045142296369,1.1788712129209602,2.4125706728435565,5.73214624853376,-21.16215155084413,-30.3886925795053,-36.984687868080094,1.177124205701587,2.413278238827737,-4.739747907913469,44.028776978417255,77.6978417266187,83.30935251798562
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Nuôi trồng nông & hải sản,50159019,-15.302205616796055,-57.058508938011755,-8.41060494184742,4.646900469480666,-75.42003371896983,-96.97308343178263,-87.16292301309785,-73.50196056773623,-47.27986264410105,-15.279334352182035,27.76513650685836,-55.15610217596973,2.4597918637653735,13.48155156102176,12.418546975296636,33.339209297801986,47.32481521104843,0.15781932959512432,-3.582086657599934,-3.0253553359175944,-51.16180819602873,-75.9611322348965,-87.15673848753697,0.1580739299610895,-3.5870622568093387,-3.02772373540856,126.90582959641253,423.7668161434977,902.6905829596412
