Mã,Công ty,Ngành,Khối lượng NY/ĐKGD
SVT,Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông,Sản xuất giấy,17310978
SZC,Công ty cổ phần Sonadezi Châu Đức,Bất động sản,119999961
SZL,Công ty Cổ phần Sonadezi Long Thành,Bất động sản,20000000
TBC,Công ty Cổ phần Thủy điện Thác Bà,Sản xuất & Phân phối Điện,63500000
TCB,Ngân hàng TMCP Kỹ Thương Việt Nam (Techcombank),Ngân hàng,3517238514
TCD,Công ty Cổ phần Đầu tư Phát triển Công nghiệp và Vận tải,Xây dựng,282680804
TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Bất động sản,668215843
TCL,Công ty Cổ phần Đại lý giao nhận Vận tải xếp dỡ Tân Cảng,Dịch vụ vận tải,30158436
TCM,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công,Hàng May mặc,82047127
TCO,Công ty Cổ phần Vận tải đa phương thức Duyên Hải,Dịch vụ vận tải,18711000
TCR,Công ty Cổ phần Công Nghiệp Gốm sứ Taicera,Vật liệu xây dựng & Nội thất,10373190
TCT,Công ty Cổ phần Cáp treo Núi Bà Tây Ninh,Vận tải hành khách & Du lịch,12788000
TDC,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,"Tư Vấn, Định giá, Môi giới Bất động sản",100000000
TDG,Công ty Cổ phần Đầu tư TDG GLOBAL,Phân phối xăng dầu & khí đốt,18446831
TDH,Công ty Cổ phần Phát triển nhà Thủ Đức,Bất động sản,112652767
TDM,Công ty cổ phần Nước Thủ Dầu Một,Nước,100000000
TDP,Công ty Cổ phần Thuận Đức,Containers & Đóng gói,75527993
TDW,Công ty Cổ phần Cấp nước Thủ Đức,Nước,8500000
TEG,Công ty Cổ phần Năng lượng và Bất động sản Trường Thành,Bất động sản,72806562
TGG,Công ty cổ phần Louis Capital,Xây dựng,27299990
THG,Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang,Xây dựng,22957896
TIP,Công ty Cổ phần Phát triển Khu công nghiệp Tín Nghĩa,Bất động sản,65007857
TIX,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,Bất động sản,30000000
TLD,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,Bất động sản,74752586
TLG,Công ty Cổ phần Tập đoàn Thiên Long,Đồ gia dụng một lần,77794453
TLH,Công ty Cổ phần Tập đoàn thép Tiến Lên,Thép và sản phẩm thép,112320017
TMP,Công ty Cổ phần Thủy điện Thác Mơ,Sản xuất & Phân phối Điện,70000000
TMS,CÔNG TY CỔ PHẦN TRANSIMEX,"Kho bãi, hậu cần và bảo dưỡng",121749845
TMT,Công ty Cổ phần Ô tô TMT,Sản xuất ô tô,37287680
TN1,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TNS HOLDINGS,Bất động sản,49665950
TNA,Công ty Cổ phần Thương Mại Xuất Nhập Khẩu Thiên Nam,Thép và sản phẩm thép,49576264
TNC,Công ty Cổ phần Cao su Thống Nhất,"Nhựa, cao su & sợi",19250000
TNH,Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên,Chăm sóc y tế,95874610
TNI,Công ty Cổ phần Tập đoàn Thành Nam,Thép và sản phẩm thép,52500000
TNT,Công ty cổ phần tập đoàn TNT,Khai khoáng,51000000
TPB,Ngân hàng Thương mại cổ phần Tiên Phong,Ngân hàng,2201635009
TPC,Công ty Cổ phần Nhựa Tân Đại Hưng,"Nhựa, cao su & sợi",24430596
TRA,Công ty Cổ phần Traphaco,Dược phẩm,41453673
TRC,Công ty Cổ phần Cao su Tây Ninh,"Nhựa, cao su & sợi",30000000
TSC,Công ty Cổ phần Vật tư kỹ thuật nông nghiệp Cần Thơ,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",196858925
TTA,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,Sản xuất & Phân phối Điện,170057593
TTB,Công ty Cổ phần Tập đoàn Tiến Bộ,Vật liệu xây dựng & Nội thất,101509583
TTE,Công ty cổ phần Đầu tư Năng lượng Trường Thịnh,Sản xuất & Phân phối Điện,28490400
TTF,Công ty Cổ phần Tập đoàn Kỹ nghệ gỗ Trường Thành,Lâm sản và Chế biến gỗ,393548302
TV2,Công ty Cổ phần Tư vấn Xây dựng điện 2,Tư vấn & Hỗ trợ KD,67526165
TVB,Công ty Cổ phần Chứng khoán Trí Việt,Môi giới chứng khoán,112097019
TVS,Công ty Cổ phần Chứng Khoán Thiên Việt,Môi giới chứng khoán,151314672
TVT,Tổng công ty Việt Thắng - CTCP,Hàng May mặc,21000000
TYA,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam,Hàng điện & điện tử,6134773
UIC,Công ty Cổ phần Đầu tư phát triển Nhà và Đô thị IDICO,Xây dựng,8000000
VAF,Công ty Cổ phần Phân lân nung chảy Văn Điển,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",37665348
VCA,Công ty Cổ phần Thép VICASA - VNSTEEL,Thép và sản phẩm thép,15187322
VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng,5589091262
VCF,Công ty Cổ phần Vinacafé Biên Hòa,Đồ uống & giải khát,26579135
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và xây dựng Việt Nam,Xây dựng,534465514
VCI,Công ty Cổ phần Chứng khoán VietCap,Môi giới chứng khoán,437500000
VDP,Công ty Cổ phần Dược phẩm Trung ương Vidipha,Dược phẩm,16831904
VDS,Công ty Cổ phần Chứng khoán Rồng Việt,Môi giới chứng khoán,210000000
VFG,Công ty Cổ phần Khử trùng Việt Nam,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",41714614
VGC,Tổng Công ty Viglacera - CTCP,Vật liệu xây dựng & Nội thất,448350000
VHC,Công ty Cổ phần Vĩnh Hoàn,Nuôi trồng nông & hải sản,183376956
VHM,Công ty cổ phần Vinhomes,Bất động sản,4354367488
VIB,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng,2536807534
VIC,Tập đoàn VINGROUP - CTCP,Bất động sản,3813935561
VID,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông,Sản xuất giấy,40836069
VIP,Công ty Cổ phần Vận tải Xăng dầu VIPCO,Vận tải Thủy,68470941
VIX,CÔNG TY CỔ PHẦN CHỨNG KHOÁN VIX,Môi giới chứng khoán,669444725
