Mã,Công ty,Ngành,Khối lượng NY/ĐKGD
GVR,Tập đoàn Công nghiệp Cao su Việt Nam,"Nhựa, cao su & sợi",4000000000
HAG,Công ty Cổ phần Hoàng Anh Gia Lai,Nuôi trồng nông & hải sản,927467947
HAH,Công ty Cổ phần Vận tải và xếp dỡ Hải An,"Kho bãi, hậu cần và bảo dưỡng",105516881
HAP,Công ty Cổ phần Tập đoàn HAPACO,Sản xuất giấy,111097772
HAR,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,Bất động sản,101350100
HAS,Công ty Cổ phần Hacisco,Xây dựng,8000000
HAX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,Sản xuất ô tô,89927565
HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Xây dựng,274133270
HCD,Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,"Nhựa, cao su & sợi",36958816
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Môi giới chứng khoán,458052367
HDB,Ngân hàng TMCP Phát triển T.P Hồ Chí Minh,Ngân hàng,2907632132
HDC,Công ty Cổ phần Phát triển nhà Bà Rịa-Vũng Tàu,Bất động sản,135104881
HDG,Công ty Cổ phần Tập đoàn Hà Đô,Bất động sản,305756841
HHP,Công ty cổ phần Giấy Hoàng Hà Hải Phòng,Sản xuất giấy,62023810
HHS,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,Sản xuất ô tô,347160713
HHV,Công ty cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Xây dựng,329350351
HID,Công ty Cổ phần Halcom Việt Nam,Xây dựng,76765032
HII,Công ty Cổ phần An Tiến Industries,"Nhựa, cao su & sợi",73663016
HMC,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - VNSTEEL,Thép và sản phẩm thép,27299999
HNG,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Nuôi trồng nông & hải sản,1108553895
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,Thép và sản phẩm thép,5814785700
HPX,Công ty cổ phần Đầu tư Hải Phát,Bất động sản,304168581
HQC,Công ty Cổ phần Tư vấn-Thương mại-Dịch vụ Địa ốc Hoàng Quân,Bất động sản,476600000
HRC,Công ty Cổ phần Cao su Hòa Bình,"Nhựa, cao su & sợi",30206622
HSG,Công ty Cổ phần Tập đoàn Hoa Sen,Thép và sản phẩm thép,615982309
HSL,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN THỰC PHẨM HỒNG HÀ,Thực phẩm,35383508
HT1,Công ty Cổ phần xi măng VICEM Hà Tiên,Vật liệu xây dựng & Nội thất,381589911
HTI,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,Xây dựng,24949200
HTL,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,Sản xuất ô tô,12000000
HTN,Công ty cổ phần Hưng Thịnh Incons,Bất động sản,89116411
HTV,Công ty cổ phần Logistics Vicem,Vận tải Thủy,13104000
HU1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,Xây dựng,10000000
HUB,Công ty Cổ phần Xây lắp Thừa Thiên Huế,Xây dựng,26298437
HVH,Công ty cổ phần Đầu tư và Công nghệ HVC,Xây dựng,40644830
HVN,Tổng Công ty Hàng không Việt Nam - CTCP,Hàng không,2214394174
HVX,Công ty Cổ phần xi măng Vicem Hải Vân,Vật liệu xây dựng & Nội thất,38525250
IBC,Công ty cổ phần Đầu tư APAX HOLDINGS,Tài chính đặc biệt,83150661
ICT,Công ty cổ phần Viễn thông - Tin học Bưu điện,Phần mềm,32185000
IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,Nuôi trồng nông & hải sản,227644608
IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Bất động sản,251832509
ILB,Công ty Cổ phần ICD Tân Cảng – Long Bình,"Kho bãi, hậu cần và bảo dưỡng",24502245
IMP,Công ty Cổ phần dược phẩm Imexpharm,Dược phẩm,66705370
ITA,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo,Bất động sản,938463607
ITC,Công ty Cổ phần Đầu tư - Kinh doanh nhà,Bất động sản,96375409
ITD,Công ty Cổ phần Công nghệ Tiên Phong,Phần cứng,24533591
JVC,Công ty Cổ phần Thiết bị Y tế Việt Nhật,Thiết bị y tế,112500171
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc-Công ty Cổ phần,Bất động sản,767604759
KDC,Công ty Cổ phần tập đoàn Kido,Thực phẩm,279741356
KDH,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền,Bất động sản,716829995
KHG,Công ty Cổ phần Tập đoàn Khải Hoàn Land,Bất động sản,449435205
KHP,Công ty Cổ phần Điện lực Khánh Hòa,Sản xuất & Phân phối Điện,60405967
KMR,Công ty Cổ phần Mirae,Hàng May mặc,56881443
KOS,Công ty cổ phần Kosy,Bất động sản,216481335
KPF,Công ty cổ phần Đầu tư tài chính Hoàng Minh,Vật liệu xây dựng & Nội thất,60867241
KSB,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,Khai khoáng,76631202
L10,Công ty Cổ phần LILAMA 10,Máy công nghiệp,9890000
LAF,Công ty Cổ phần Chế biến hàng xuất khẩu Long An,Thực phẩm,14728019
LBM,Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Lâm Đồng,Vật liệu xây dựng & Nội thất,20000000
LCG,Công ty Cổ phần LIZEN,Xây dựng,191641170
LDG,Công ty Cổ phần Đầu tư LDG,"Tư Vấn, Định giá, Môi giới Bất động sản",256972585
LEC,Công ty Cổ phần Bất động sản Điện lực Miền Trung,Bất động sản,26100000
LGC,Công ty Cổ phần đầu tư cầu đường CII,Xây dựng,192854765
LGL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,Bất động sản,51500000
LHG,Công ty Cổ phần Long Hậu,Bất động sản,50012010
LIX,Công ty Cổ phần Bột giặt Lix,Hàng cá nhân,32400000
LM8,Công ty Cổ phần Lilama 18,Xây dựng,9388682
LPB,Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt,Ngân hàng,2057616416
LSS,Công ty Cổ phần Mía đường Lam Sơn,Thực phẩm,74547993
MBB,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng,5214084052
MCP,Công ty Cổ phần In và Bao bì Mỹ Châu,Containers & Đóng gói,15071337
MDG,Công ty Cổ phần Miền Đông,Vật liệu xây dựng & Nội thất,10889031
MHC,Công ty Cổ phần MHC,Dịch vụ vận tải,41406964
MIG,Tổng Công ty Cổ phần Bảo Hiểm Quân Đội,Bảo hiểm phi nhân thọ,172672500
MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,Ngân hàng,2000000000
MSH,Công ty cổ phần May Sông Hồng,Hàng May mặc,75014100
MSN,Công ty Cổ phần Tập đoàn MaSan,Thực phẩm,1430843406
MWG,Công ty Cổ phần đầu tư thế giới di động,Phân phối hàng chuyên dụng,1463376716
NAF,Công ty Cổ phần Nafoods Group,Đồ uống & giải khát,50564152
NAV,Công ty Cổ phần Nam Việt,Vật liệu xây dựng & Nội thất,8000000
NBB,Công ty Cổ phần Đầu tư Năm Bảy Bảy,Bất động sản,100475656
NCT,Công ty Cổ phần dịch vụ hàng hóa Nội Bài,"Kho bãi, hậu cần và bảo dưỡng",26166940
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Xây dựng,42174520
NHH,Công ty Cổ phần Nhựa Hà Nội,"Nhựa, cao su & sợi",72880000
NHT,Công ty Cổ phần Sản xuất và Thương mại Nam Hoa,Đồ chơi,24028169
NKG,Công ty Cổ phần Thép Nam Kim,Thép và sản phẩm thép,263277806
NLG,Công ty Cổ phần Đầu tư Nam Long,Bất động sản,384080300
NNC,Công ty Cổ phần Đá Núi Nhỏ,Vật liệu xây dựng & Nội thất,21920000
NO1,CTCP Tập đoàn 911,Máy công nghiệp,24000000
NSC,Công ty Cổ phần Tập đoàn Giống cây trồng Việt Nam,Nuôi trồng nông & hải sản,17586988
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Sản xuất & Phân phối Điện,287876029
NTL,Công ty Cổ phần Phát triển đô thị Từ Liêm,Bất động sản,60989950
NVL,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,Bất động sản,1950104538
NVT,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,Bất động sản,90500000
OCB,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng,1369882863
OGC,Công ty Cổ phần Tập đoàn Đại Dương,Tài chính đặc biệt,300000000
OPC,Công ty Cổ phần Dược phẩm OPC,Dược phẩm,64050892
ORS,Công ty Cổ phần Chứng khoán Tiên Phong,Môi giới chứng khoán,200000000
PAC,Công ty Cổ phần Pin Ắc quy miền Nam,Hàng điện & điện tử,46471707
PAN,Công ty Cổ phần Tập đoàn PAN,Thực phẩm,216294580
PC1,Công ty Cổ phần Xây lắp điện 1,Xây dựng,270433002
PDN,Công ty Cổ phần Cảng Đồng Nai,"Kho bãi, hậu cần và bảo dưỡng",37043908
PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,Bất động sản,671646219
PET,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Phân phối hàng chuyên dụng,107334831
PGC,Tổng Công ty Gas Petrolimex-Công ty Cổ phần,Phân phối xăng dầu & khí đốt,60342638
PGD,Công ty Cổ phần Phân phối khí Thấp áp Dầu khí Việt Nam,Phân phối xăng dầu & khí đốt,98998266
PGI,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Bảo hiểm phi nhân thọ,110896796
PGV,Tổng Công ty Phát điện 3 - Công ty cổ phần,Sản xuất & Phân phối Điện,1123468046
